intercept,intercept_sd,mu,mu_sd,sigma,sigma_sd,noise,noise_sd
7.651250e-07,7.651250e-08,6.700906e-11,6.700906e-12,1.622811e-12,1.622811e-13,7.457768e-07,7.457768e-08
8.109514e-07,8.109514e-08,6.726043e-11,6.726043e-12,1.833133e-12,1.833133e-13,8.420998e-07,8.420998e-08
8.019722e-07,8.019722e-08,6.908460e-11,6.908460e-12,2.115480e-12,2.115480e-13,7.849814e-07,7.849814e-08
7.334514e-07,7.334514e-08,6.665657e-11,6.665657e-12,1.603476e-12,1.603476e-13,7.160587e-07,7.160587e-08
7.049444e-07,7.049444e-08,6.687446e-11,6.687446e-12,1.598999e-12,1.598999e-13,6.662907e-07,6.662907e-08
7.639028e-07,7.639028e-08,6.673615e-11,6.673615e-12,1.629303e-12,1.629303e-13,7.766094e-07,7.766094e-08
7.294722e-07,7.294722e-08,6.694576e-11,6.694576e-12,1.619035e-12,1.619035e-13,6.977684e-07,6.977684e-08
7.161042e-07,7.161042e-08,6.648116e-11,6.648116e-12,1.568523e-12,1.568523e-13,6.800425e-07,6.800425e-08
7.124861e-07,7.124861e-08,6.653921e-11,6.653921e-12,1.610417e-12,1.610417e-13,6.691238e-07,6.691238e-08
7.675000e-07,7.675000e-08,6.671535e-11,6.671535e-12,1.605063e-12,1.605063e-13,7.717235e-07,7.717235e-08
7.628542e-07,7.628542e-08,6.656884e-11,6.656884e-12,1.522804e-12,1.522804e-13,7.526269e-07,7.526269e-08
8.322083e-07,8.322083e-08,6.655050e-11,6.655050e-12,1.546069e-12,1.546069e-13,7.792672e-07,7.792672e-08
